county,fips,cases,deaths,cfr
Burlington,3808560.0,304029,18856,0.06202039936979696
Burnet,4661141.0,3214,47,0.01462352209085252
Burnett,2585611.0,70,47,0.6714285714285714
Burt,2543722.0,527,0,0.0
Butler,19429522.0,120900,4085,0.03378825475599669
Butte,606707.0,3945,34,0.00861850443599493
Butts,1303500.0,15001,1448,0.09652689820678621
Cabarrus,4072750.0,38581,1413,0.036624245094735754
Cabell,5023023.0,4802,0,0.0
Cache,5096520.0,31657,36,0.0011371892472438955
Caddo,6245312.0,187754,13198,0.07029410824802668
Calaveras,588882.0,1428,0,0.0
Calcasieu,2267957.0,48189,3174,0.06586565398742451
Caldwell,14510779.0,22395,179,0.007992855548113418
Caledonia,4900490.0,1223,0,0.0
Calhoun,23251801.0,62277,2914,0.04679095010999245
Callahan,4036956.0,591,71,0.12013536379018612
Callaway,2873673.0,2497,85,0.03404084901882259
Calloway,2145570.0,3698,84,0.022714981070849107
Calumet,5666545.0,4249,71,0.01670981407389974
Calvert,2472927.0,21408,1153,0.053858370702541104
Camas,1458275.0,91,0,0.0
Cambria,4160079.0,3737,172,0.046026224244046024
Camden,10466361.0,428620,21707,0.05064392702160422
Cameron,10750377.0,63584,2300,0.03617262204328133
Camp,4325670.0,3964,19,0.00479313824419778
Campbell,17432250.0,17323,919,0.05305085724181724
Canadian,4241802.0,10678,247,0.023131672597864767
Candler,1212999.0,1019,0,0.0
Cannon,4513440.0,1556,0,0.0
Canyon,1634754.0,26399,506,0.0191673927042691
Cape Girardeau,2845038.0,5833,154,0.02640150865763758
Cape May,3502927.0,39934,3194,0.07998197025091401
Carbon,16788583.0,19775,1526,0.07716814159292035
Caribou,1394523.0,258,0,0.0
Carlisle,1430652.0,265,60,0.22641509433962265
Carlton,2458547.0,5227,0,0.0
Caroline,6916015.0,19508,213,0.01091859749846217
Carroll,33158795.0,131327,9115,0.06940690033275716
Carson,3508745.0,320,0,0.0
Carson City,3576100.0,6378,226,0.03543430542489809
Carter,12898687.0,5040,227,0.04503968253968254
Carteret,3777162.0,3154,241,0.07641090678503487
Carver,3080166.0,12007,87,0.00724577329890897
Cascade,3031313.0,1536,144,0.09375
Casey,1620465.0,369,0,0.0
